S. Mamede d’ Este; Avenida da Liberdade (Igreja S Lázaro I); Celeirós (Pte Covedelo); Rua 25 de Abril (Parque
Infantil); S. Mamede d’ Este;

Dias úteis

--,--,--,7:15,7:45
6:15,06:45,7:15,7:45,8:15
6:45,07:15,7:45,8:15,8:45
7:15,07:45,8:15,8:45,9:15
7:45,8:15,8:45,9:15,9:45
8:15,8:45,9:15,9:45,10:15
8:45,9:15,9:45,10:15,10:45
9:15,09:45,10:15,10:45,11:15
9:45,10:15,10:45,11:15,11:45
10:15,10:45,11:15,11:45,12:15
10:45,11:15,11:45,12:15,12:45
11:15,11:45,12:15,12:45,13:15
11:45,12:15,12:45,13:15,13:45
12:15,12:45,13:15,13:45,14:15
12:45,13:15,13:45,14:15,14:45
--,13:40,14:10,--,--
13:15,13:45,14:15,14:45,15:15
13:45,14:15,14:45,15:15,15:45
14:15,14:45,15:15,15:45,16:15
14:45,15:15,15:45,16:15,16:45
15:15,15:45,16:15,16:45,17:15
15:45,16:15,16:45,17:15,17:45
16:15,16:45,17:15,17:45,18:15
16:45,17:15,17:45,18:15,18:45
17:15,17:45,18:15,18:45,19:15
17:45,18:15,18:45,19:15,19:45
18:15,18:45,19:15,19:45,20:15
18:45,19:15,19:45,20:15,20:45
19:15,19:45,20:15,20:45,21:15
19:45,20:15,20:45,21:05,--
20:15,20:35,--,--,--
20:45,21:05,--,--,--

Sábados Domingos e Feriados

6:15,6:45,7:15,7:45,8:15
7:15,7:45,8:15,8:45,9:15
8:15,8:45,9:15,9:45,10:15
9:15,9:45,10:15,10:45,11:15
10:15,10:45,11:15,11:45,12:15
11:15,11:45,12:15,12:45,13:15
12:15,12:45,13:15,13:45,14:15
13:15,13:45,14:15,14:45,15:15
14:15,14:45,15:15,15:45,16:15
15:15,15:45,16:15,16:45,17:15
16:15,16:45,17:15,17:45,18:15
17:15,17:45,18:15,18:45,19:15
18:15,18:45,19:15,19:45,20:15
19:15,19:45,20:15,20:45,21:15
